date,open,high,low,close,volume,trade_count,vwap,symbol
6/4/2020,54.47,56.26,53.92,55.03,4785874,38999,55.065482,BUD
6/5/2020,58.12,58.66,56.8501,57.18,5235811,41918,57.677429,BUD
6/8/2020,57.76,58.255,57.11,57.92,4038532,34586,57.748973,BUD
6/9/2020,55.65,55.97,54.83,55.11,3084169,27700,55.383395,BUD
6/10/2020,55.38,55.41,53.36,53.59,3010497,28319,54.059454,BUD
6/11/2020,50.93,51.5468,48.7237,48.97,5267798,48812,49.864726,BUD
6/12/2020,52,52.23,50.25,51.48,3247550,30344,51.286798,BUD
6/15/2020,49.6,50.98,49.41,50.71,3134512,27435,50.188671,BUD
6/16/2020,53.67,54.09,51.35,52.21,3275909,29739,52.692452,BUD
6/17/2020,52.08,52.09,51,51.35,2370858,21475,51.575739,BUD
6/18/2020,51,52.1,50.73,51.78,1486289,15118,51.638459,BUD
6/19/2020,52.48,52.53,50.29,50.44,2471291,23379,51.245436,BUD
6/22/2020,50.7,50.989,50.19,50.88,1212655,13913,50.679125,BUD
6/23/2020,52.33,52.5999,51.93,52.1,1841585,16401,52.228012,BUD
6/24/2020,50.9,50.94,48.7,48.92,3861621,35407,49.425825,BUD
6/25/2020,48.99,49.98,48.58,49.91,1959304,20100,49.469879,BUD
6/26/2020,49.52,49.61,47.8,48.05,3122618,26620,48.493958,BUD
6/29/2020,48.63,49.35,48.22,49.3,1582426,16190,48.991891,BUD
6/30/2020,49.1,49.42,48.58,49.3,1731706,17792,49.07497,BUD
7/1/2020,48.41,49.68,48.41,48.97,2293894,22067,49.020444,BUD
7/2/2020,50.8,51.37,49.805,50.11,2470368,22500,50.465769,BUD
7/6/2020,52.21,52.95,51.85,52.86,2567755,22609,52.534281,BUD
7/7/2020,52.49,52.91,52.15,52.53,2561919,22815,52.528559,BUD
7/8/2020,52.33,52.94,52.04,52.41,1724027,16670,52.359095,BUD
7/9/2020,52,52.09,50.774,51.01,1788883,18293,51.228997,BUD
7/10/2020,51.99,53.82,51.925,53.76,2217010,21423,53.138973,BUD
7/13/2020,53.9,54,52.18,52.45,2094719,21516,53.044333,BUD
7/14/2020,52.07,53.12,51.96,53.04,1639072,17965,52.585008,BUD
7/15/2020,54.4,54.99,53.79,54.16,2029302,20363,54.299218,BUD
7/16/2020,53.43,54.44,53.3,53.91,1111232,12371,53.920381,BUD
7/17/2020,53.75,53.99,53.3778,53.85,944724,10129,53.749446,BUD
7/20/2020,53.8,53.97,53.395,53.58,1969464,17755,53.645585,BUD
7/21/2020,55,56.11,54.89,55.45,2642322,24548,55.593098,BUD
7/22/2020,54.5,54.65,54.16,54.47,1800511,16923,54.418712,BUD
7/23/2020,54.78,55.29,54.28,54.55,1481521,13011,54.791502,BUD
7/24/2020,54.22,54.67,54.14,54.53,1085821,12174,54.427528,BUD
7/27/2020,54.23,54.49,53.75,54.08,1872094,16520,54.042666,BUD
7/28/2020,54.81,56.06,54.77,55.64,1809420,18712,55.577061,BUD
7/29/2020,56.42,56.925,56.01,56.7,2879111,23051,56.51829,BUD
7/30/2020,58.3,58.55,56.72,58.08,3639786,31649,57.825724,BUD
7/31/2020,57.25,57.3,54.13,54.43,3197616,30283,54.968829,BUD
8/3/2020,54.29,54.7099,53.65,54.43,1814463,16882,54.334417,BUD
8/4/2020,55.6,56.14,55.32,55.72,1578024,15379,55.786913,BUD
8/5/2020,56.3,56.34,55.49,55.79,1162471,12315,55.851124,BUD
8/6/2020,53.92,55.07,53.87,54.88,1997642,17306,54.618735,BUD
8/7/2020,53.78,54.3,53.7701,54.26,1351178,14603,54.047926,BUD
8/10/2020,54.27,54.74,54.15,54.55,1104172,11570,54.436755,BUD
8/11/2020,56.6,56.74,55.72,55.93,1723405,16821,56.291195,BUD
8/12/2020,56.79,57.15,56.18,56.93,1172358,12058,56.825795,BUD
8/13/2020,56.7,56.9655,56.2499,56.34,677655,8493,56.599688,BUD
8/14/2020,56.14,56.73,56.01,56.22,850813,9929,56.283813,BUD
8/17/2020,56.32,56.51,55.95,56.19,1003457,10854,56.195051,BUD
8/18/2020,57.35,57.4619,56.79,57.24,1250327,13549,57.180096,BUD
8/19/2020,57.63,58.35,57.21,57.32,1549474,16041,57.798599,BUD
8/20/2020,56.32,56.8,56.08,56.75,1410467,14230,56.529847,BUD
8/21/2020,55.24,55.75,55.03,55.62,1642583,15506,55.474059,BUD
8/24/2020,56.41,57.38,56.23,57.34,1479342,15828,57.005371,BUD
8/25/2020,57.98,58.15,57.36,58.09,1547552,18642,57.84189,BUD
8/26/2020,58.92,59.69,58.64,59.33,1968253,20000,59.21565,BUD
8/27/2020,59.45,59.6,58.65,58.96,1418184,14948,59.183638,BUD
8/28/2020,59.22,59.31,58.66,59.16,1214764,12870,58.99541,BUD
8/31/2020,58.92,58.98,57.85,58.15,1594815,15154,58.289408,BUD
9/1/2020,57.59,58.225,57.38,57.62,1239966,14731,57.682667,BUD
9/2/2020,58.52,59.72,58.47,59.56,1345242,15618,59.098943,BUD
9/3/2020,59.9,60.85,58.55,58.96,2148770,25411,59.554147,BUD
9/4/2020,58.73,58.95,57.51,58.44,1798451,19948,58.166203,BUD
9/8/2020,56.8,56.94,55.6,55.74,2815972,31651,56.141564,BUD
9/9/2020,56.7,57.61,56.49,57.2,1248256,14146,57.077682,BUD
9/10/2020,57.89,58.05,56.83,56.88,1180050,14569,57.504057,BUD
9/11/2020,56.57,56.6,55.8347,56.15,1275227,14431,56.230036,BUD
9/14/2020,56.51,56.79,56.16,56.25,1638351,17435,56.422543,BUD
9/15/2020,57.15,57.15,56.38,56.44,1669587,14428,56.740113,BUD
9/16/2020,56.82,58.12,56.46,57.05,1904374,16216,57.148865,BUD
9/17/2020,57.67,58.22,57.16,58,1732186,16744,57.676573,BUD
9/18/2020,57.77,58.01,57.1,57.56,1474573,14993,57.582455,BUD
